Municipio;Provincia;Comunidad Autónoma;Habitantes (2022);Carril Bici;Precios alquiler;Distancia a Madrid (km);"Tiempo medio 
de viaje a Madrid 
en coche";Tiempo medio de viaje a Madrid en tren o autobús;Distancia a Barcelona (km);"Tiempo medio 
de viaje a Barcelona 
en coche";Tiempo medio de viaje a Barcelona en tren o autobús;Aeropuerto Internacional más cercano;"Número de
conexiones del
aeropuerto internacional
más cercano";Distancia al aeropuerto internacional más cercano (km);Temperatura máxima media (ºC);Temperatura mínima media (ºC);Número de visitantes internacionales al año;Precio medio vivienda (EUR/m2);Patrimonio de la Humanidad;% días calidad del aire Buena;% días calidad del aire Razonablemente Buena;% días calidad del aire Regular;% días calidad del aire Desfavorable;% días calidad del aire Muy Desfavorable;% días calidad del aire Extremadamente Desfavorable;Ponderación calidad del aire;"Horas de Sol medias
anuales";
A Coruña;A Coruña;Galicia;244700;20,4;9,1;593;5:37;4 h 32 min;1084;11 h;12 h;A Coruña;9;11,6;24;7;;2.300;Sí;20;73;4;3;0;0;410;2.453;
Albacete;Albacete;Castilla-La Mancha;172357;24,4;7,1;260;2:34;1 h 37 min;545;5 h 22 min;5 h 25 min;"Alacant-Elx 
Miguel Hernández";119;169;33;0;;1.417;;3;72;16;9;0;0;369;3.282;
Alcalá de Guadaíra;Sevilla;Andalucía;75917;N/D;6,6;531;5:09;3 h 29 min;995;9 h 50 min;12 h ;Sevilla;70;21,1;35;5;;N/D;;14;72;11;3;0;0;397;3.526;
Alcalá de Henares;Madrid;Madrid;196888;28;9,9;40;0:39;42 min;586;5 h 30 min;3 h 20 min;"Adolfo Suárez 
Madrid-Barajas";174;21;33;1;;N/D;Sí;17;68;11;3;0;0;396;2.691;
Alcobendas;Madrid;Madrid;117041;53,8;12;24;0:25;22 min;613;5 h 47 min;3 h 49 min;"Adolfo Suárez 
Madrid-Barajas";174;9,1;33;0;;N/D;;22;67;8;3;0;0;408;2.691;
Alcorcón;Madrid;Madrid;170296;17,6;10,8;15;0:34;20 min;631;6 h 3 min;3 h 9 min;"Adolfo Suárez 
Madrid-Barajas";174;29,5;33;0;;N/D;;12;76;10;2;0;0;398;2.691;
Algeciras;Cádiz;Andalucía;122368;N/D;7,1;662;6:20;5 h 40 min;1106;11 h ;14 h;Jerez;16;107;28;11;;N/D;;13;80;4;2;0;0;401;3.316;
Alicante;Alicante;Comunidad Valenciana;338577;39,3;9,4;427;4:02;2 h 25 min;525;5 h 18 min;8 h;"Alacant-Elx 
Miguel Hernández";119;11,1;31;7;;1.705;;32;62;5;0;0;0;423;3.397;
Almería;Almería;Andalucía;199237;40,2;7,6;551;5:15;10 h 5 min;803;7 h 55 min;12 h;Almería;19;8,6;30;8;;1.302;;5;81;10;4;0;0;387;3.305;
Arona;Santa Cruz de Tenerife;Santa Cruz de Tenerife;82982;N/D;13,7;2029;42:00;;2504;46 h;;Tenerife Sur;102;18,9;25;13;;N/D;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;3.098;
Avilés;Asturias;Asturias;75877;9,9;6,8;481;4:41;5 h;893;8 h 49 min;13 h;Asturias;24;14,5;22;7;;N/D;;6;84;7;4;0;0;395;1.962;
Badajoz;Badajoz;Extremadura;150146;N/D;6,7;404;3:44;4 h 28 min;1021;9 h 53 min;16 h;Sevilla;70;217;35;3;;1.374;;33;59;6;2;0;0;423;3.224;
Badalona;Barcelona;Cataluña;223506;0,9;12,8;633;6:21;3 h 2 min;10;23 min;21 min;"Josep Tarradellas
Barcelona-El Prat";170;24,7;29;5;;N/D;;33;63;4;0;0;0;429;2.453;
Barakaldo;Bizkaia;País Vasco;100535;16;11,3;408;4:03;4 h 54 min;612;5 h 51 min;9 h 40 min;Bilbao;46;16;24;6;;N/D;;44;43;7;5;0;0;423;1.694;
Barcelona;Barcelona;Cataluña;1636193;14,1;18,4;623;6:15;2 h 45 min;0;0;0;"Josep Tarradellas
Barcelona-El Prat";170;12,6;28;5;;4.063;Sí;31;67;2;0;0;0;429;2.453;
Bilbao;Bizkaia;País Vasco;344127;9,8;13,3;401;3:59;4 h 28 min;605;5 h 44 min;10 h 10 min;Bilbao;46;12,1;24;5;;3.174;;55;36;5;4;0;0;442;1.694;
